conversationId,timestamp,sessionId,channel,customerIdAnon,customerSegment,initialIntent,originQueue,outcome,durationSeconds,totalTurns
conv-20260609-000044,2026-06-09T22:48:03.309Z,sess-eb5a88a92e2efa7c,chat,517f10312a389a21,VIP,pagamento_boleto,seguros,resolved_by_ai,43,3
conv-20260612-000045,2026-06-12T23:49:38.309Z,sess-f5c9cc70f60b1167,chat,b72142df5872c9a5,VIP,resgate,credito,resolved_by_ai,79,9
conv-20260618-000046,2026-06-18T21:32:05.309Z,sess-c0683a42b11a95a8,phone,a467ce6a34193307,Premium,transferencia_pix,atendimento_principal,resolved_by_ai,85,7
conv-20260617-000047,2026-06-17T17:58:09.309Z,sess-d94cf20b2f3476be,phone,4282d012cf7cc9ef,VIP,transferencia_ted,credito,customer_hangup,117,10
conv-20260602-000048,2026-06-03T01:53:25.309Z,sess-ac9d7e1ef648d340,phone,91cfdd2444aeb948,Premium,saque_exterior,credito,transferred_to_agent,54,4
conv-20260603-000049,2026-06-04T04:10:02.309Z,sess-0cf5b427705a6d6d,phone,500e0c18e3d088a4,Premium,cartao_desbloqueio,investimentos,customer_hangup,100,5
conv-20260627-000050,2026-06-27T21:05:26.309Z,sess-a62beb30ae0a7a62,phone,0d34a5496b7a3426,Basic,pagamento_boleto,seguros,resolved_by_ai,100,8
conv-20260613-000051,2026-06-13T19:12:41.309Z,sess-589df025eb20e76f,phone,8a98893a8288b199,Premium,cambio,seguros,resolved_by_ai,109,8
conv-20260630-000052,2026-07-01T03:55:45.309Z,sess-9ea0aff4bbb689ea,whatsapp,80d709a976f81aa2,Premium,pagamento_boleto,atendimento_principal,resolved_by_ai,50,2
conv-20260625-000053,2026-06-26T06:25:07.309Z,sess-5244e56678d00309,chat,68d09df6ba9feaf0,VIP,sinistro,atendimento_principal,resolved_by_ai,92,7
conv-20260621-000054,2026-06-22T03:30:57.309Z,sess-5c5e308cbccfeaa0,phone,542321eee15a61e8,Basic,transferencia_ted,seguros,customer_hangup,76,8
conv-20260607-000055,2026-06-08T06:29:32.309Z,sess-8bd8943f8d47f2ea,phone,2901612e7c17dc63,Premium,fatura,credito,customer_hangup,96,8
conv-20260627-000056,2026-06-28T01:54:37.309Z,sess-775e133604cce098,phone,670bcca4936f7bbc,Basic,pagamento_boleto,seguros,resolved_by_ai,62,6
conv-20260617-000057,2026-06-17T21:20:37.309Z,sess-0acd560fe66c5b46,phone,a3e6165d8c78a5e8,Basic,emprestimo_contratacao,credito,customer_hangup,116,8
conv-20260623-000058,2026-06-23T20:18:59.309Z,sess-04375e0c0451d05f,chat,80a18c1eb7f14dcb,Basic,cotacao_seguro,atendimento_principal,resolved_by_ai,99,9
conv-20260611-000059,2026-06-11T20:59:02.309Z,sess-f6824ee9c06ad955,phone,b09aa143753cdee5,Basic,saldo,credito,resolved_by_ai,35,5
conv-20260602-000060,2026-06-02T20:17:42.309Z,sess-4bd937919fe9e246,phone,f7e8d2dd9f2ecad3,Premium,cambio,credito,resolved_by_ai,60,4
conv-20260630-000061,2026-06-30T21:14:39.309Z,sess-d8e61f9462ac4a19,phone,76c44ba842eb12ee,Premium,cambio,seguros,customer_hangup,59,5
conv-20260619-000062,2026-06-20T04:05:28.309Z,sess-e1d747e167cce216,phone,3cb682ef3ca87849,VIP,saque_exterior,investimentos,resolved_by_ai,94,7
conv-20260615-000063,2026-06-16T05:35:47.309Z,sess-b6945bcb208735df,chat,748a0ae9e8a3b955,VIP,sinistro,atendimento_principal,resolved_by_ai,48,2
conv-20260619-000064,2026-06-20T03:41:26.309Z,sess-8d7dc8e4e938acd4,phone,af446a1b910c82d3,Standard,previdencia,investimentos,customer_hangup,34,3
conv-20260605-000065,2026-06-05T21:41:27.309Z,sess-d49503f9d6219248,phone,9aba08527c481251,Basic,fatura,atendimento_principal,transferred_to_agent,100,10
conv-20260610-000066,2026-06-10T19:55:41.309Z,sess-9773bc251cd0079e,whatsapp,c1e63fa1d1f2f6e4,Standard,resgate,atendimento_principal,resolved_by_ai,59,5
conv-20260616-000067,2026-06-16T20:21:11.309Z,sess-584c8a6797392552,whatsapp,a9b8a3c93304e847,VIP,transferencia_ted,seguros,resolved_by_ai,114,9
conv-20260630-000068,2026-06-30T19:12:23.309Z,sess-2322c0bf9b16729a,whatsapp,b9c5b087858b8310,VIP,previdencia,credito,resolved_by_ai,81,6
conv-20260630-000069,2026-07-01T02:13:29.309Z,sess-c7d5884c3beeec06,phone,b506e61db4e1d1c0,Basic,extrato,credito,resolved_by_ai,68,5
conv-20260623-000070,2026-06-24T02:43:35.309Z,sess-ab12e5afa1be90b4,phone,28805f783c5d6abd,Premium,aplicacao,atendimento_principal,customer_hangup,81,6
conv-20260629-000071,2026-06-30T03:02:25.309Z,sess-207eb3662c2c8c2b,phone,a99397c1fd79d5da,Standard,cambio,seguros,transferred_to_agent,35,3
conv-20260612-000072,2026-06-12T21:46:01.309Z,sess-a3684da9534e4e0e,phone,40f1775d31f2b287,VIP,investimentos,atendimento_principal,resolved_by_ai,59,4
conv-20260602-000073,2026-06-03T04:21:01.309Z,sess-a66823e7638c0681,phone,32728494c7c70051,Premium,transferencia_pix,investimentos,resolved_by_ai,95,8
conv-20260623-000074,2026-06-24T06:38:08.309Z,sess-149b466ab078fb37,phone,355685da68c9cfac,VIP,cartao_bloqueio,investimentos,resolved_by_ai,137,10
conv-20260614-000075,2026-06-14T22:05:21.309Z,sess-10e0cfc9af3ce2c0,phone,9cc762922c2d1bd3,VIP,cartao_bloqueio,atendimento_principal,transferred_to_agent,66,5
conv-20260630-000076,2026-06-30T19:50:33.309Z,sess-602ad3e859272667,phone,3d53415e3184160e,Premium,transferencia_pix,seguros,resolved_by_ai,68,4
conv-20260612-000077,2026-06-13T06:07:41.309Z,sess-12e9000123c2c98c,phone,4863b6dcce8903ba,VIP,fatura,investimentos,resolved_by_ai,103,7
conv-20260630-000078,2026-06-30T21:41:36.309Z,sess-027d59f042e8ddfc,whatsapp,832c190f4c9ac1cf,Standard,emprestimo_contratacao,seguros,resolved_by_ai,53,3
conv-20260621-000079,2026-06-22T00:48:26.309Z,sess-0040843843722bc6,phone,5e964ae673b13974,Standard,investimentos,investimentos,resolved_by_ai,130,9
conv-20260604-000080,2026-06-05T02:47:00.309Z,sess-2c506ac0667b90f4,phone,c8cf26f457074485,Basic,pagamento_boleto,credito,resolved_by_ai,114,9
conv-20260611-000081,2026-06-12T05:52:52.309Z,sess-37711cd048a877dc,whatsapp,0b9a6ef0d168a461,VIP,saque_exterior,investimentos,customer_hangup,41,3
conv-20260613-000082,2026-06-13T23:13:21.309Z,sess-a72b3978d226a81a,phone,880e530a55c58b56,VIP,limite,seguros,customer_hangup,106,9
conv-20260624-000083,2026-06-24T18:02:26.309Z,sess-ded99cdd2877123e,phone,d0784f62d5e4a5df,Basic,resgate,seguros,resolved_by_ai,105,9
conv-20260629-000084,2026-06-30T04:00:04.309Z,sess-f5bb6816ec193c37,phone,46ffc6fe42aa0562,VIP,transferencia_ted,investimentos,resolved_by_ai,102,8
conv-20260608-000085,2026-06-08T22:28:14.309Z,sess-079f2d1ac624ccaf,phone,5901ccfbf96ed6d5,Basic,pagamento_boleto,credito,resolved_by_ai,46,2
conv-20260623-000086,2026-06-23T17:55:30.309Z,sess-5eef041ce85f79d7,whatsapp,3510e3e9842e4711,Basic,fatura,seguros,resolved_by_ai,65,7
conv-20260607-000087,2026-06-08T01:07:35.309Z,sess-5813d9cc0952cb66,phone,8a40b70418ed454e,Premium,saque_exterior,investimentos,resolved_by_ai,102,10
conv-20260627-000088,2026-06-28T02:18:12.309Z,sess-c797c1ff76405bc9,phone,d28c58e83c49c5b3,Premium,cartao_bloqueio,investimentos,resolved_by_ai,96,10
conv-20260610-000089,2026-06-11T00:48:06.309Z,sess-932b71404e884cf2,whatsapp,a39e2904c7920642,Basic,resgate,credito,resolved_by_ai,59,5
conv-20260625-000090,2026-06-26T03:47:41.309Z,sess-1611777c50f5f50c,chat,bbe600e1c24efbc8,Basic,cartao_bloqueio,seguros,resolved_by_ai,81,8
conv-20260611-000091,2026-06-12T05:45:51.309Z,sess-79f30e253dbf73fc,phone,6fab977ee4be039f,Standard,emprestimo_contratacao,credito,resolved_by_ai,100,7
conv-20260615-000092,2026-06-15T20:35:23.309Z,sess-68dc5a29fe7e99f3,phone,fb8f227718fea23e,Premium,saldo,atendimento_principal,resolved_by_ai,112,9
conv-20260607-000093,2026-06-08T06:20:24.309Z,sess-42028ac6da744888,phone,6878daa907fae620,Standard,aplicacao,credito,transferred_to_agent,64,5
conv-20260609-000094,2026-06-09T22:17:38.309Z,sess-309fd969af3e2ac9,phone,6b4d0a0f3a000d5a,VIP,investimentos,investimentos,transferred_to_agent,59,5
conv-20260618-000095,2026-06-18T23:42:33.309Z,sess-09dcb20fc1b95202,phone,f6644db7e32dbc02,Basic,pagamento_boleto,seguros,resolved_by_ai,46,2
conv-20260606-000096,2026-06-06T23:27:30.309Z,sess-c07a375ae8663870,phone,014f9efa68a42401,VIP,aplicacao,investimentos,resolved_by_ai,114,9
conv-20260622-000097,2026-06-22T19:06:32.309Z,sess-07382df7f2753362,phone,58c6e746268e54df,Basic,previdencia,atendimento_principal,resolved_by_ai,91,10
conv-20260611-000098,2026-06-11T19:19:37.309Z,sess-26205911bd5f3d8f,phone,c17657d9b7e09449,Premium,cartao_desbloqueio,atendimento_principal,resolved_by_ai,124,10
conv-20260701-000099,2026-07-02T00:06:14.309Z,sess-b75249e2682b456a,phone,ae0112689e6f4d5b,VIP,saldo,seguros,resolved_by_ai,50,5
conv-20260612-000100,2026-06-12T20:59:59.309Z,sess-ee52807169197515,phone,dfec7d4fa69c7ccf,Premium,saque_exterior,seguros,resolved_by_ai,67,5
conv-20260627-000101,2026-06-27T22:53:57.309Z,sess-a13baae4e3bce505,phone,9e5638f78dd3171a,VIP,saldo,investimentos,resolved_by_ai,91,10
conv-20260612-000102,2026-06-12T21:10:34.309Z,sess-45fcd93c49c685a9,phone,dee922a3189337f4,Basic,transferencia_ted,investimentos,resolved_by_ai,32,3
conv-20260618-000103,2026-06-19T05:59:13.309Z,sess-626f5f8ef88c3d9a,whatsapp,e4d0de74276f24c5,VIP,fatura,credito,resolved_by_ai,91,8
conv-20260606-000104,2026-06-07T06:09:26.309Z,sess-93e1eed9533a1731,phone,cb83be1d948d0049,VIP,cambio,credito,resolved_by_ai,107,9
conv-20260602-000105,2026-06-02T21:37:35.309Z,sess-fa95b83fa8b7a005,phone,2179063f624992bd,VIP,fatura,atendimento_principal,resolved_by_ai,64,3
conv-20260612-000106,2026-06-12T20:34:41.309Z,sess-2aff82e34618a973,phone,e48fa7d68ae2a896,VIP,fatura,investimentos,customer_hangup,53,3
conv-20260603-000107,2026-06-03T21:48:39.309Z,sess-585ca546f44e55f4,phone,f905aa05ca00f8e7,VIP,saldo,seguros,resolved_by_ai,80,5
conv-20260607-000108,2026-06-07T22:18:28.309Z,sess-c94b46a7bb3c352c,phone,6f101b9f4d162c6b,Basic,transferencia_ted,seguros,resolved_by_ai,70,7
conv-20260626-000109,2026-06-26T20:05:16.309Z,sess-0876210753126a61,phone,506ab505c15ebef0,VIP,emprestimo_contratacao,seguros,resolved_by_ai,90,5
conv-20260625-000110,2026-06-25T22:38:41.309Z,sess-631d31f47940bcb6,phone,9d635ff503e1fee0,Standard,pagamento_boleto,atendimento_principal,transferred_to_agent,104,9
conv-20260620-000111,2026-06-21T01:14:02.309Z,sess-02bdba569c396fbd,phone,639691409991ee8d,Standard,previdencia,atendimento_principal,resolved_by_ai,101,9
conv-20260626-000112,2026-06-27T04:35:21.309Z,sess-6df6335d04970ea6,whatsapp,f648483180cfc36e,Premium,cartao_bloqueio,credito,customer_hangup,58,3
conv-20260608-000113,2026-06-08T19:01:25.309Z,sess-7eaa3d5be395b5d2,phone,c88bf9aa6b45ecf0,Standard,extrato,seguros,resolved_by_ai,112,10
conv-20260623-000114,2026-06-24T05:34:16.309Z,sess-c661254e9ed16f2a,phone,62d3dbca2a7dea71,Standard,extrato,seguros,resolved_by_ai,93,9
conv-20260606-000115,2026-06-06T22:17:20.309Z,sess-d8bff899fa377f51,phone,58e91a20da6ccc9e,Basic,limite,credito,customer_hangup,58,3
conv-20260618-000116,2026-06-19T04:47:14.309Z,sess-929d39414993de2e,whatsapp,2bae66ff01861e70,Premium,extrato,investimentos,resolved_by_ai,99,8
conv-20260621-000117,2026-06-22T05:22:52.309Z,sess-73bf38443d4da870,phone,2e7d4cdacbf35154,Premium,cotacao_seguro,investimentos,customer_hangup,123,10
conv-20260606-000118,2026-06-06T20:51:23.309Z,sess-a7c09719cd24c90a,phone,9b36e95325041b2e,VIP,limite,credito,transferred_to_agent,59,4
conv-20260611-000119,2026-06-12T02:38:10.309Z,sess-aecc4afade4b3bcc,phone,78a2fc29b293e48e,Basic,extrato,investimentos,resolved_by_ai,26,2
conv-20260630-000120,2026-07-01T02:15:31.309Z,sess-519db02ca9667591,phone,dd76248c86f2eea0,Premium,emprestimo_contratacao,investimentos,resolved_by_ai,61,4
conv-20260618-000121,2026-06-18T18:07:47.309Z,sess-28519a23ab7aac30,whatsapp,e5dda61ff8b7b781,Standard,limite,investimentos,resolved_by_ai,88,10
conv-20260603-000122,2026-06-03T23:42:11.309Z,sess-42073a2b792e5877,phone,6b3f247a4eb7e4a4,Premium,saldo,seguros,system_timeout,98,7
conv-20260605-000123,2026-06-06T00:48:32.309Z,sess-9e81efd6b0b7ccb1,phone,86e4ad9eaaeca0e4,VIP,emprestimo_simulacao,seguros,resolved_by_ai,91,7
conv-20260608-000124,2026-06-09T02:38:43.309Z,sess-ac692153583352fc,chat,43e2b31c02222743,Basic,transferencia_pix,credito,resolved_by_ai,100,7
conv-20260605-000125,2026-06-06T01:41:41.309Z,sess-9d0961396ca1420d,phone,085e45bbc8a1040d,Premium,aplicacao,credito,transferred_to_agent,100,9
conv-20260602-000126,2026-06-02T20:12:09.309Z,sess-2d628372c7b8610c,phone,9a4bf146717dfb54,Premium,aplicacao,atendimento_principal,resolved_by_ai,40,3
conv-20260608-000127,2026-06-08T23:02:07.309Z,sess-c351bed3c02e9271,phone,c1c55fe6205c25f7,Basic,saldo,investimentos,resolved_by_ai,50,6
conv-20260611-000128,2026-06-11T22:39:31.309Z,sess-d5eaae5a5dc446a9,phone,4629083873948098,Standard,previdencia,atendimento_principal,resolved_by_ai,81,8
conv-20260618-000129,2026-06-18T23:43:39.309Z,sess-393dcd04c1c38f5b,phone,5319a201d025975d,Standard,cartao_bloqueio,credito,customer_hangup,36,3
conv-20260622-000130,2026-06-22T20:55:50.309Z,sess-d64949c94d38d832,phone,4375ee712adaba8f,Premium,aplicacao,atendimento_principal,resolved_by_ai,85,6
conv-20260615-000131,2026-06-15T20:37:41.309Z,sess-5fe1c486dc84ff16,phone,089c68466d442ec1,Basic,investimentos,seguros,resolved_by_ai,81,9
conv-20260603-000132,2026-06-04T04:43:28.309Z,sess-6f8629fe2717a5fa,phone,b3c4ab14413c8324,Basic,pagamento_boleto,seguros,resolved_by_ai,88,6
conv-20260622-000133,2026-06-23T03:24:37.309Z,sess-732f6a942321508e,phone,d5f3a2420f504e24,Premium,cartao_desbloqueio,atendimento_principal,resolved_by_ai,55,3
conv-20260610-000134,2026-06-10T20:33:54.309Z,sess-4b54d49d3d0b3b02,whatsapp,39ba9504d5aa06e8,VIP,emprestimo_contratacao,atendimento_principal,transferred_to_agent,68,5
conv-20260622-000135,2026-06-23T04:05:29.309Z,sess-0bc3f98e536b24dc,phone,ba95d21f612ce124,VIP,cambio,credito,resolved_by_ai,45,4
conv-20260627-000136,2026-06-28T03:28:48.309Z,sess-eb8284c6335feab5,whatsapp,a56ea1c36302a58e,Standard,emprestimo_contratacao,seguros,resolved_by_ai,58,4
conv-20260612-000137,2026-06-13T03:38:46.309Z,sess-f283acc98557eab3,phone,f51ccee18ac14947,Premium,saque_exterior,atendimento_principal,resolved_by_ai,40,3
conv-20260613-000138,2026-06-13T21:07:58.309Z,sess-349c920a5bf8a459,phone,5e1799b0b5962201,Basic,extrato,credito,resolved_by_ai,91,8
conv-20260626-000139,2026-06-26T21:41:54.309Z,sess-fa5027b5f79eb6b0,chat,25a320e66481b2f2,Basic,saque_exterior,seguros,resolved_by_ai,114,8
conv-20260613-000140,2026-06-13T19:55:13.309Z,sess-e6f332c2a46fde13,phone,588a47416e1fdc92,VIP,cartao_desbloqueio,credito,resolved_by_ai,85,8
conv-20260602-000141,2026-06-03T05:53:23.309Z,sess-4d0dbeabcc2996f9,phone,bbfe1570c95a37f3,Standard,previdencia,seguros,resolved_by_ai,23,2
conv-20260625-000142,2026-06-26T05:05:39.309Z,sess-1ef012cfc1aaf65e,phone,196d60011c48ecf3,VIP,resgate,credito,system_timeout,49,4
conv-20260602-000143,2026-06-03T01:47:45.309Z,sess-d33fd737ba2ec7ae,chat,7e61a62fb1b2a68b,Premium,saldo,investimentos,resolved_by_ai,56,5
conv-20260608-000144,2026-06-09T03:07:38.309Z,sess-1699791540c35c5c,phone,92bd68d056a3972e,Premium,previdencia,credito,resolved_by_ai,101,8
conv-20260609-000145,2026-06-10T00:07:28.309Z,sess-f576d4c3696858eb,whatsapp,9f2f657e9fbdd5e7,Basic,fatura,seguros,transferred_to_agent,56,2
conv-20260608-000146,2026-06-08T22:20:58.309Z,sess-26ad0e75b8268500,phone,945e76da6e7b16fe,Premium,emprestimo_simulacao,credito,resolved_by_ai,103,10
conv-20260629-000147,2026-06-29T23:20:04.309Z,sess-1b060581eada8e13,phone,229e8f70fda33ce0,Standard,saldo,credito,resolved_by_ai,35,3
conv-20260629-000148,2026-06-29T20:59:52.309Z,sess-346752c5d97ae96f,phone,727b814c6ea8dfd0,VIP,sinistro,atendimento_principal,resolved_by_ai,66,4
conv-20260618-000149,2026-06-18T19:52:16.309Z,sess-a2c8c38dd2170a2c,phone,8b3d93103d47900e,Standard,fatura,seguros,resolved_by_ai,88,6
conv-20260604-000150,2026-06-05T04:59:04.309Z,sess-404c99ee682c1bae,phone,394459ffe49a4087,VIP,seguros,atendimento_principal,resolved_by_ai,60,4
conv-20260604-000151,2026-06-04T18:53:00.309Z,sess-9717f4f01dedb2ab,phone,d2eaea7e071f4231,Standard,cartao_bloqueio,credito,resolved_by_ai,71,9
conv-20260630-000152,2026-07-01T00:27:57.309Z,sess-9dffd9abf9bc0d32,whatsapp,b035759ea6a7fa9a,Basic,cambio,credito,resolved_by_ai,35,2
conv-20260628-000153,2026-06-29T04:39:59.309Z,sess-971020ec62dd5487,phone,fb423e2380a31c25,Premium,limite,atendimento_principal,customer_hangup,56,4
conv-20260607-000154,2026-06-07T23:13:33.309Z,sess-94108ed05cd50b27,phone,f7a2800f70889d2b,Basic,transferencia_ted,atendimento_principal,resolved_by_ai,92,7
conv-20260611-000155,2026-06-12T00:24:52.309Z,sess-a3487cd9642a932f,phone,8d88ab1472224bc0,VIP,previdencia,seguros,transferred_to_agent,76,7
conv-20260614-000156,2026-06-15T03:55:32.309Z,sess-be3a422b96917bbc,chat,120adf1e6a21e8df,VIP,cotacao_seguro,credito,resolved_by_ai,128,10
conv-20260620-000157,2026-06-21T03:34:12.309Z,sess-88dffde9dc199627,whatsapp,867be22ec99822e0,Basic,seguros,seguros,transferred_to_agent,67,6
conv-20260607-000158,2026-06-07T18:32:10.309Z,sess-86caa1ce9bbb6e61,phone,0b3c17696906d674,Standard,seguros,credito,resolved_by_ai,72,5
conv-20260607-000159,2026-06-07T20:04:57.309Z,sess-6265f90a6c6d2165,phone,884f19257783152d,VIP,transferencia_pix,credito,transferred_to_agent,50,3
conv-20260617-000160,2026-06-18T05:16:46.309Z,sess-c8d5b61f70435173,phone,30a6debcb4219b90,Basic,fatura,seguros,resolved_by_ai,76,6
conv-20260624-000161,2026-06-24T23:51:42.309Z,sess-da1acf3c660e3f4a,phone,75fcfc0942133dbc,Premium,fatura,atendimento_principal,resolved_by_ai,42,4
conv-20260630-000162,2026-07-01T04:30:14.309Z,sess-e37d0ea9ed6b238c,phone,67a43dc8c0a3eb9f,Standard,seguros,atendimento_principal,transferred_to_agent,26,2
conv-20260619-000163,2026-06-19T21:36:06.309Z,sess-e2036ee1a910f5f2,chat,19589f6bf7ea5c21,Basic,fatura,seguros,resolved_by_ai,52,4
conv-20260613-000164,2026-06-13T21:37:58.309Z,sess-63876604132c7c03,whatsapp,f7fddcc839e20be3,Basic,cartao_desbloqueio,credito,system_timeout,38,2
