conversationId,timestamp,eventName,eventCategory,turnIndex
conv-20260618-000103,2026-06-19T06:00:44.309Z,conversation_ended,completion,
conv-20260606-000104,2026-06-07T06:10:54.309Z,no_comprehension,error,8
conv-20260606-000104,2026-06-07T06:11:13.309Z,conversation_ended,completion,
conv-20260602-000105,2026-06-02T21:38:10.309Z,agent_requested,handoff,3
conv-20260602-000105,2026-06-02T21:38:39.309Z,conversation_ended,completion,
conv-20260612-000106,2026-06-12T20:35:34.309Z,conversation_ended,completion,
conv-20260603-000107,2026-06-03T21:49:59.309Z,conversation_ended,completion,
conv-20260607-000108,2026-06-07T22:19:38.309Z,conversation_ended,completion,
conv-20260626-000109,2026-06-26T20:06:46.309Z,conversation_ended,completion,
conv-20260625-000110,2026-06-25T22:40:10.309Z,no_comprehension,error,8
conv-20260625-000110,2026-06-25T22:40:25.309Z,conversation_ended,completion,
conv-20260620-000111,2026-06-21T01:15:43.309Z,conversation_ended,completion,
conv-20260626-000112,2026-06-27T04:36:19.309Z,conversation_ended,completion,
conv-20260608-000113,2026-06-08T19:03:17.309Z,conversation_ended,completion,
conv-20260623-000114,2026-06-24T05:35:44.309Z,agent_requested,handoff,8
conv-20260623-000114,2026-06-24T05:35:49.309Z,conversation_ended,completion,
conv-20260606-000115,2026-06-06T22:18:18.309Z,conversation_ended,completion,
conv-20260618-000116,2026-06-19T04:48:53.309Z,conversation_ended,completion,
conv-20260621-000117,2026-06-22T05:24:55.309Z,conversation_ended,completion,
conv-20260606-000118,2026-06-06T20:51:54.309Z,agent_requested,handoff,2
conv-20260606-000118,2026-06-06T20:52:22.309Z,conversation_ended,completion,
conv-20260611-000119,2026-06-12T02:38:36.309Z,conversation_ended,completion,
conv-20260630-000120,2026-07-01T02:16:32.309Z,conversation_ended,completion,
conv-20260618-000121,2026-06-18T18:09:15.309Z,conversation_ended,completion,
conv-20260603-000122,2026-06-03T23:43:36.309Z,agent_requested,handoff,7
conv-20260603-000122,2026-06-03T23:43:49.309Z,conversation_ended,completion,
conv-20260605-000123,2026-06-06T00:50:03.309Z,conversation_ended,completion,
conv-20260608-000124,2026-06-09T02:40:23.309Z,conversation_ended,completion,
conv-20260605-000125,2026-06-06T01:43:21.309Z,conversation_ended,completion,
conv-20260602-000126,2026-06-02T20:12:49.309Z,conversation_ended,completion,
conv-20260608-000127,2026-06-08T23:02:57.309Z,conversation_ended,completion,
conv-20260611-000128,2026-06-11T22:40:52.309Z,conversation_ended,completion,
conv-20260618-000129,2026-06-18T23:44:15.309Z,conversation_ended,completion,
conv-20260622-000130,2026-06-22T20:56:48.309Z,knowledge_gap,error,4
conv-20260622-000130,2026-06-22T20:57:15.309Z,conversation_ended,completion,
conv-20260615-000131,2026-06-15T20:39:02.309Z,conversation_ended,completion,
conv-20260603-000132,2026-06-04T04:44:35.309Z,no_comprehension,error,5
conv-20260603-000132,2026-06-04T04:44:56.309Z,conversation_ended,completion,
conv-20260622-000133,2026-06-23T03:25:32.309Z,conversation_ended,completion,
conv-20260610-000134,2026-06-10T20:35:02.309Z,conversation_ended,completion,
conv-20260622-000135,2026-06-23T04:06:14.309Z,conversation_ended,completion,
conv-20260627-000136,2026-06-28T03:29:33.309Z,no_comprehension,error,4
conv-20260627-000136,2026-06-28T03:29:46.309Z,conversation_ended,completion,
conv-20260612-000137,2026-06-13T03:39:26.309Z,conversation_ended,completion,
conv-20260613-000138,2026-06-13T21:09:29.309Z,conversation_ended,completion,
conv-20260626-000139,2026-06-26T21:43:26.309Z,knowledge_gap,error,4
conv-20260626-000139,2026-06-26T21:43:42.309Z,agent_requested,handoff,6
conv-20260626-000139,2026-06-26T21:43:48.309Z,conversation_ended,completion,
conv-20260613-000140,2026-06-13T19:56:38.309Z,conversation_ended,completion,
conv-20260602-000141,2026-06-03T05:53:46.309Z,conversation_ended,completion,
conv-20260625-000142,2026-06-26T05:06:28.309Z,conversation_ended,completion,
conv-20260602-000143,2026-06-03T01:48:41.309Z,conversation_ended,completion,
conv-20260608-000144,2026-06-09T03:09:19.309Z,conversation_ended,completion,
conv-20260609-000145,2026-06-10T00:07:52.309Z,knowledge_gap,error,2
conv-20260609-000145,2026-06-10T00:08:01.309Z,agent_requested,handoff,2
conv-20260609-000145,2026-06-10T00:08:24.309Z,conversation_ended,completion,
conv-20260608-000146,2026-06-08T22:22:41.309Z,conversation_ended,completion,
conv-20260629-000147,2026-06-29T23:20:31.309Z,knowledge_gap,error,2
conv-20260629-000147,2026-06-29T23:20:39.309Z,conversation_ended,completion,
conv-20260629-000148,2026-06-29T21:00:58.309Z,conversation_ended,completion,
conv-20260618-000149,2026-06-18T19:53:44.309Z,conversation_ended,completion,
conv-20260604-000150,2026-06-05T05:00:04.309Z,conversation_ended,completion,
conv-20260604-000151,2026-06-04T18:54:11.309Z,conversation_ended,completion,
conv-20260630-000152,2026-07-01T00:28:32.309Z,conversation_ended,completion,
conv-20260628-000153,2026-06-29T04:40:49.309Z,agent_requested,handoff,3
conv-20260628-000153,2026-06-29T04:40:55.309Z,conversation_ended,completion,
conv-20260607-000154,2026-06-07T23:15:05.309Z,conversation_ended,completion,
conv-20260611-000155,2026-06-12T00:26:08.309Z,conversation_ended,completion,
conv-20260614-000156,2026-06-15T03:57:40.309Z,conversation_ended,completion,
conv-20260620-000157,2026-06-21T03:35:19.309Z,conversation_ended,completion,
conv-20260607-000158,2026-06-07T18:33:22.309Z,conversation_ended,completion,
conv-20260607-000159,2026-06-07T20:05:47.309Z,conversation_ended,completion,
conv-20260617-000160,2026-06-18T05:18:02.309Z,conversation_ended,completion,
conv-20260624-000161,2026-06-24T23:52:24.309Z,conversation_ended,completion,
conv-20260630-000162,2026-07-01T04:30:40.309Z,conversation_ended,completion,
conv-20260619-000163,2026-06-19T21:36:58.309Z,conversation_ended,completion,
conv-20260613-000164,2026-06-13T21:38:36.309Z,conversation_ended,completion,
conv-20260605-000165,2026-06-06T00:34:51.309Z,knowledge_gap,error,2
conv-20260605-000165,2026-06-06T00:35:13.309Z,conversation_ended,completion,
conv-20260621-000166,2026-06-21T21:26:36.309Z,agent_requested,handoff,2
conv-20260621-000166,2026-06-21T21:26:53.309Z,conversation_ended,completion,
conv-20260616-000167,2026-06-17T01:03:10.309Z,conversation_ended,completion,
conv-20260621-000168,2026-06-21T20:26:25.309Z,conversation_ended,completion,
conv-20260620-000169,2026-06-21T03:01:17.309Z,conversation_ended,completion,
conv-20260610-000170,2026-06-11T06:17:42.309Z,conversation_ended,completion,
conv-20260629-000171,2026-06-29T23:20:26.309Z,conversation_ended,completion,
conv-20260615-000172,2026-06-16T02:24:44.309Z,conversation_ended,completion,
conv-20260701-000173,2026-07-02T05:49:51.309Z,conversation_ended,completion,
conv-20260624-000174,2026-06-25T00:08:21.309Z,conversation_ended,completion,
conv-20260602-000175,2026-06-03T04:39:00.309Z,conversation_ended,completion,
conv-20260616-000176,2026-06-17T05:15:13.309Z,conversation_ended,completion,
conv-20260624-000177,2026-06-24T21:21:14.309Z,conversation_ended,completion,
conv-20260629-000178,2026-06-29T19:43:15.309Z,knowledge_gap,error,3
conv-20260629-000178,2026-06-29T19:43:24.309Z,agent_requested,handoff,3
conv-20260629-000178,2026-06-29T19:43:31.309Z,conversation_ended,completion,
conv-20260629-000179,2026-06-30T06:36:42.309Z,conversation_ended,completion,
conv-20260625-000180,2026-06-26T06:05:34.309Z,conversation_ended,completion,
conv-20260623-000181,2026-06-23T22:17:00.309Z,conversation_ended,completion,
conv-20260626-000182,2026-06-26T20:33:15.309Z,no_comprehension,error,2
conv-20260626-000182,2026-06-26T20:33:42.309Z,conversation_ended,completion,
conv-20260612-000183,2026-06-13T02:43:37.309Z,conversation_ended,completion,
conv-20260603-000184,2026-06-04T05:52:05.309Z,conversation_ended,completion,
conv-20260630-000185,2026-07-01T01:44:03.309Z,agent_requested,handoff,5
conv-20260630-000185,2026-07-01T01:44:21.309Z,conversation_ended,completion,
conv-20260621-000186,2026-06-21T18:26:30.309Z,conversation_ended,completion,
conv-20260627-000187,2026-06-27T20:09:54.309Z,conversation_ended,completion,
conv-20260614-000188,2026-06-15T01:34:33.309Z,conversation_ended,completion,
conv-20260621-000189,2026-06-22T06:04:24.309Z,conversation_ended,completion,
conv-20260607-000190,2026-06-07T19:31:15.309Z,conversation_ended,completion,
conv-20260613-000191,2026-06-14T06:20:32.309Z,conversation_ended,completion,
conv-20260604-000192,2026-06-04T19:44:09.309Z,conversation_ended,completion,
conv-20260627-000193,2026-06-27T19:34:21.309Z,conversation_ended,completion,
conv-20260609-000194,2026-06-09T21:21:09.309Z,knowledge_gap,error,3
conv-20260609-000194,2026-06-09T21:21:23.309Z,conversation_ended,completion,
conv-20260611-000195,2026-06-11T21:50:06.309Z,conversation_ended,completion,
conv-20260624-000196,2026-06-25T05:26:08.309Z,agent_requested,handoff,2
conv-20260624-000196,2026-06-25T05:26:31.309Z,conversation_ended,completion,
conv-20260701-000197,2026-07-02T03:08:50.309Z,conversation_ended,completion,
conv-20260612-000198,2026-06-13T04:22:25.309Z,conversation_ended,completion,
conv-20260619-000199,2026-06-19T21:13:49.309Z,conversation_ended,completion,
conv-20260607-000200,2026-06-07T18:13:06.309Z,agent_requested,handoff,7
conv-20260607-000200,2026-06-07T18:13:25.309Z,conversation_ended,completion,
